 DEPTH,BIT,BVOL,CAL,CNC,CVOL,DT,GR,PE,RD,RMSL,RS,SPBR,ZCOR,ZDEN,SPD,TTEN
1119.76,8.5,27.093,8.805,58.997,12.816,56.957,62.358,14.88,9.603,1.935,15.888,46.376,-0.605,2.064,8.535,3190.106
1119.84,8.5,27.089,8.805,51.872,12.814,56.964,57.696,14.921,9.603,1.944,15.887,46.221,-0.533,1.972,8.536,3191.466
1119.91,8.5,27.085,8.805,48.368,12.813,56.969,53.026,14.933,9.602,1.952,15.886,46.082,-0.564,1.882,8.536,3190.966
1119.99,8.5,27.082,8.805,48.43,12.811,56.971,49.349,14.914,9.6,1.959,15.885,45.997,-0.615,1.824,8.537,3189.897
1120.06,8.5,27.078,8.805,50.295,12.809,56.971,46.554,14.871,9.599,1.965,15.885,45.995,-0.605,1.813,8.537,3189.039
1120.14,8.5,27.075,8.805,51.812,12.808,56.969,45.456,14.808,9.596,1.967,15.885,46.069,-0.583,1.826,8.538,3188.346
1120.22,8.5,27.071,8.805,53.273,12.806,56.964,47.506,14.771,9.595,1.963,15.886,46.182,-0.544,1.852,8.539,3187.204
1120.29,8.5,27.068,8.805,54.884,12.804,56.956,51.332,14.684,9.594,1.954,15.886,46.277,-0.542,1.87,8.539,3185.075
1120.37,8.5,27.064,8.805,55.666,12.803,56.947,55.184,14.613,9.596,1.945,15.884,46.297,-0.569,1.886,8.54,3182.149
1120.45,8.5,27.061,8.805,55.087,12.801,56.937,59.044,14.537,9.601,1.939,15.881,46.215,-0.508,1.911,8.54,3179.532
1120.52,8.5,27.057,8.805,52.5,12.799,56.928,63.051,14.579,9.607,1.938,15.876,46.042,-0.447,1.963,8.54,3178.598
1120.6,8.5,27.054,8.805,50.581,12.798,56.918,66.692,14.639,9.606,1.938,15.869,45.814,-0.45,2.009,8.54,3180.114
1120.67,8.5,27.05,8.805,48.956,12.796,56.909,68.482,14.662,9.572,1.935,15.848,45.581,-0.489,2.031,8.54,3183.607
1120.75,8.5,27.046,8.805,47.725,12.794,56.902,67.172,14.702,9.428,1.932,15.713,45.368,-0.559,2.018,8.54,3187.225
